"Team,Division,Conference"
"Air Force,FBS,Mountain West"
"Akron,FBS,Mid-American"
"Alabama,FBS,Southeastern"
"Appalachian State,FBS,Sun Belt"
"Arizona,FBS,Big 12"
"Arizona State,FBS,Big 12"
"Arkansas,FBS,Southeastern"
"Arkansas State,FBS,Sun Belt"
"Army,FBS,American Athletic"
"Auburn,FBS,Southeastern"
"Ball State,FBS,Mid-American"
"Baylor,FBS,Big 12"
"Boise State,FBS,Pac-12"
"Boston College,FBS,Atlantic Coast"
"Bowling Green,FBS,Mid-American"
"Buffalo,FBS,Mid-American"
"BYU,FBS,Big 12"
"California,FBS,Atlantic Coast"
"Central Michigan,FBS,Mid-American"
"Charlotte,FBS,American Athletic"
"Cincinnati,FBS,Big 12"
"Clemson,FBS,Atlantic Coast"
"Coastal Carolina,FBS,Sun Belt"
"Colorado,FBS,Big 12"
"Colorado State,FBS,Pac-12"
"Delaware,FBS,Conference USA"
"Duke,FBS,Atlantic Coast"
"East Carolina,FBS,American Athletic"
"Eastern Michigan,FBS,Mid-American"
"FIU,FBS,Conference USA"
"Florida,FBS,Southeastern"
"Florida Atlantic,FBS,American Athletic"
"Florida State,FBS,Atlantic Coast"
"Fresno State,FBS,Pac-12"
"Georgia,FBS,Southeastern"
"Georgia Southern,FBS,Sun Belt"
"Georgia State,FBS,Sun Belt"
"Hawaii,FBS,Mountain West"
"Houston,FBS,Big 12"
"Illinois,FBS,Big Ten"
"Indiana,FBS,Big Ten"
"Iowa,FBS,Big Ten"
"Iowa State,FBS,Big 12"
"Jacksonville State,FBS,Conference USA"
"James Madison,FBS,Sun Belt"
"Kansas,FBS,Big 12"
"Kansas State,FBS,Big 12"
"Kennesaw State,FBS,Conference USA"
"Kent State,FBS,Mid-American"
"Kentucky,FBS,Southeastern"
"Liberty,FBS,Conference USA"
"LSU,FBS,Southeastern"
"Marshall,FBS,Sun Belt"
"Maryland,FBS,Big Ten"
"Memphis,FBS,American Athletic"
"Miami (FL),FBS,Atlantic Coast"
"Miami (OH),FBS,Mid-American"
"Michigan,FBS,Big Ten"
"Michigan State,FBS,Big Ten"
"Middle Tennessee,FBS,Conference USA"
"Minnesota,FBS,Big Ten"
"Mississippi State,FBS,Southeastern"
"Missouri,FBS,Southeastern"
"Missouri State,FBS,Conference USA"
"Navy,FBS,American Athletic"
"NC State,FBS,Atlantic Coast"
"Nebraska,FBS,Big Ten"
"Nevada,FBS,Mountain West"
"New Mexico,FBS,Mountain West"
"New Mexico State,FBS,Conference USA"
"North Carolina,FBS,Atlantic Coast"
"North Dakota State,FBS,Mountain West"
"North Texas,FBS,American Athletic"
"Northern Illinois,FBS,Mid-American"
"Northwestern,FBS,Big Ten"
"Notre Dame,FBS,Independent"
"Ohio,FBS,Mid-American"
"Ohio State,FBS,Big Ten"
"Oklahoma,FBS,Southeastern"
"Oklahoma State,FBS,Big 12"
"Old Dominion,FBS,Sun Belt"
"Oregon,FBS,Big Ten"
"Oregon State,FBS,Pac-12"
"Penn State,FBS,Big Ten"
"Pittsburgh,FBS,Atlantic Coast"
"Purdue,FBS,Big Ten"
"Rice,FBS,American Athletic"
"Rutgers,FBS,Big Ten"
"Sam Houston,FBS,Conference USA"
"San Diego State,FBS,Pac-12"
"San Jose State,FBS,Mountain West"
"SMU,FBS,Atlantic Coast"
"South Alabama,FBS,Sun Belt"
"South Carolina,FBS,Southeastern"
"South Florida,FBS,American Athletic"
"Southern Miss,FBS,Sun Belt"
"Stanford,FBS,Atlantic Coast"
"Syracuse,FBS,Atlantic Coast"
"TCU,FBS,Big 12"
"Temple,FBS,American Athletic"
"Tennessee,FBS,Southeastern"
"Texas,FBS,Southeastern"
"Texas A&M,FBS,Southeastern"
"Texas State,FBS,Pac-12"
"Texas Tech,FBS,Big 12"
"Toledo,FBS,Mid-American"
"Troy,FBS,Sun Belt"
"Tulane,FBS,American Athletic"
"Tulsa,FBS,American Athletic"
"UAB,FBS,American Athletic"
"UCF,FBS,Big 12"
"UCLA,FBS,Big Ten"
"UConn,FBS,Independent"
"UIW,FBS,Southland"
"UMass,FBS,Mid-American"
"UNLV,FBS,Mountain West"
"USC,FBS,Big Ten"
"Utah,FBS,Big 12"
"Utah State,FBS,Pac-12"
"UTEP,FBS,Conference USA"
"UTSA,FBS,American Athletic"
"Vanderbilt,FBS,Southeastern"
"Virginia,FBS,Atlantic Coast"
"Virginia Tech,FBS,Atlantic Coast"
"Wake Forest,FBS,Atlantic Coast"
"Washington,FBS,Big Ten"
"Washington State,FBS,Pac-12"
"West Virginia,FBS,Big 12"
"Western Kentucky,FBS,Conference USA"
"Western Michigan,FBS,Mid-American"
"Wyoming,FBS,Mountain West"
"Abilene Christian,FCS,United Athletic"
"Alabama A&M,FCS,Southwestern Athletic"
"Alabama State,FCS,Southwestern Athletic"
"Albany,FCS,CAA Football"
"Alcorn State,FCS,Southwestern Athletic"
"Arkansas-Pine Bluff,FCS,Southwestern Athletic"
"Austin Peay,FCS,United Athletic"
"Bethune-Cookman,FCS,Southwestern Athletic"
"Brown,FCS,Ivy League"
"Bryant,FCS,CAA Football"
"Bucknell,FCS,Patriot League"
"Butler,FCS,Pioneer Football League"
"Cal Poly,FCS,Big Sky"
"Campbell,FCS,CAA Football"
"Central Arkansas,FCS,United Athletic"
"Central Connecticut State,FCS,Northeast"
"Charleston Southern,FCS,Big South-OVC"
"Chattanooga,FCS,Southern"
"Citadel,FCS,Southern"
"Colgate,FCS,Patriot League"
"Columbia,FCS,Ivy League"
"Cornell,FCS,Ivy League"
"Davidson,FCS,Pioneer Football League"
"Dayton,FCS,Pioneer Football League"
"Delaware State,FCS,Mid-Eastern Athletic"
"Drake,FCS,Pioneer Football League"
"Duquesne,FCS,Northeast"
"East Tennessee State,FCS,Southern"
"Eastern Illinois,FCS,Big South-OVC"
"Eastern Kentucky,FCS,United Athletic"
"Eastern Washington,FCS,Big Sky"
"Elon,FCS,CAA Football"
"Florida A&M,FCS,Southwestern Athletic"
"Fordham,FCS,Patriot League"
"Furman,FCS,Southern"
"Gardner-Webb,FCS,Big South-OVC"
"Georgetown,FCS,Patriot League"
"Grambling State,FCS,Southwestern Athletic"
"Hampton,FCS,CAA Football"
"Harvard,FCS,Ivy League"
"Holy Cross,FCS,Patriot League"
"Houston Christian,FCS,Southland"
"Howard,FCS,Mid-Eastern Athletic"
"Idaho,FCS,Big Sky"
"Idaho State,FCS,Big Sky"
"Illinois State,FCS,Missouri Valley"
"Indiana State,FCS,Missouri Valley"
"Jackson State,FCS,Southwestern Athletic"
"Jacksonville,FCS,Pioneer Football League"
"Lafayette,FCS,Patriot League"
"Lamar,FCS,Southland"
"Lehigh,FCS,Patriot League"
"Lindenwood,FCS,Big South-OVC"
"LIU,FCS,Northeast"
"Maine,FCS,CAA Football"
"Marist,FCS,Pioneer Football League"
"McNeese,FCS,Southland"
"Mercer,FCS,Southern"
"Merrimack,FCS,Northeast"
"Mississippi Valley State,FCS,Southwestern Athletic"
"Monmouth,FCS,CAA Football"
"Montana,FCS,Big Sky"
"Montana State,FCS,Big Sky"
